id,price,sqft,bedrooms,bathrooms,listing_tags,furnishing,tenure,district,landed_vs_high_rise,pool,fitness,balcony
3587,1500000.0,6528.0,5.0,4.0,Bungalow House,Unfurnished,Malay Reserved Land,Klang,landed,True,False,False
3588,515000.0,1563.0,4.0,3.0,2-storey Terraced House,Unfurnished,Leasehold,Shah Alam,landed,False,False,False
3590,749000.0,2055.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Sepang,landed,False,False,False
3591,435999.0,3028.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Puchong,landed,False,False,False
3592,3600000.0,8342.0,10.0,7.0,Bungalow House,Unfurnished,Leasehold,Shah Alam,landed,False,False,False
3593,960000.0,2500.0,4.0,3.0,2.5-storey Terraced House,Partially Furnished,Freehold,Ampang,landed,False,False,True
3594,490000.0,1981.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Cyberjaya,landed,True,True,True
3596,386000.0,4776.0,5.0,5.0,2-storey Terraced House,Fully Furnished,Freehold,Bangi,landed,True,True,True
3597,368000.0,847.0,2.0,2.0,Condominium,Unfurnished,Freehold,Sepang,high-rise,True,True,False
3598,600000.0,764.0,2.0,2.0,Service Residence,Partially Furnished,99-year Leasehold,Petaling Jaya,high-rise,False,False,False
3599,350000.0,700.0,1.0,1.0,Condominium,Partially Furnished,Freehold,Sepang,high-rise,True,True,False
3600,510000.0,1000.0,3.0,2.0,2-storey Terraced House,Unfurnished,Freehold,Puchong,landed,False,False,False
3601,1680000.0,2394.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Shah Alam,landed,False,False,False
3602,590000.0,1770.0,4.0,3.0,2-storey Terraced House,Unfurnished,Freehold,Rawang,landed,False,False,True
3603,426133.0,3011.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Puchong,landed,False,False,False
3604,788000.0,1903.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Klang,landed,False,False,False
3605,476388.0,3286.0,4.0,4.0,Semi-Detached House,Unfurnished,Freehold,Shah Alam,landed,False,False,False
3606,810000.0,2189.0,5.0,4.0,Cluster House,Unfurnished,Freehold,Semenyih,landed,False,False,False
3607,435899.0,3056.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Shah Alam,landed,False,False,False
3608,458999.0,4085.0,5.0,4.0,Semi-Detached House,Unfurnished,Freehold,Cyberjaya,landed,False,False,False
3609,458999.0,4085.0,5.0,4.0,Semi-Detached House,Unfurnished,Freehold,Cyberjaya,landed,False,False,False
3610,800000.0,1328.0,3.0,2.0,Condominium,Partially Furnished,Freehold,Damansara,high-rise,False,False,False
3611,200000.0,500.0,2.0,2.0,Condominium,Fully Furnished,Freehold,Puchong,high-rise,True,True,True
3612,719000.0,1898.0,4.0,3.0,2-storey Terraced House,Partially Furnished,Leasehold,Shah Alam,landed,True,True,True
3613,368000.0,850.0,2.0,2.0,Duplex,Partially Furnished,Freehold,Cyberjaya,high-rise,True,True,False
3614,406000.0,1600.0,3.0,3.0,1.5-storey Terraced House,Unfurnished,Freehold,Sepang,landed,False,False,True
3615,628000.0,1600.0,4.0,3.0,2-storey Terraced House,Unfurnished,Freehold,Shah Alam,landed,False,False,False
3616,200000.0,450.0,2.0,1.0,Condominium,Fully Furnished,Freehold,Nilai,high-rise,True,True,True
3617,1200000.0,1650.0,4.0,3.0,2-storey Terraced House,Partially Furnished,Freehold,Subang Jaya,landed,False,False,True
3618,439888.0,2896.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Klang,landed,False,False,False
3619,398000.0,4385.0,5.0,5.0,2-storey Terraced House,Fully Furnished,Freehold,Bangi,landed,True,False,False
3620,1100000.0,3918.0,5.0,3.0,Cluster House,Unfurnished,Freehold,Klang,landed,False,False,False
3621,299000.0,1305.0,4.0,3.0,Condominium,Partially Furnished,Freehold,Cyberjaya,high-rise,True,True,True
3622,478000.0,2514.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Bangi,landed,True,True,False
3623,436888.0,4058.0,5.0,4.0,Semi-Detached House,Unfurnished,Freehold,Cyberjaya,landed,False,False,False
3624,199000.0,550.0,2.0,2.0,Condominium,Fully Furnished,Freehold,Sepang,high-rise,True,True,True
3625,650000.0,2173.0,4.0,3.0,2-storey Terraced House,Partially Furnished,Freehold,Semenyih,landed,False,False,True
3626,345000.0,930.0,4.0,2.0,Townhouse,Partially Furnished,Leasehold,Puchong,high-rise,True,True,True
3627,380000.0,452.0,2.0,1.0,Condominium,Partially Furnished,Freehold,Petaling Jaya,high-rise,True,True,True
3628,810000.0,2189.0,5.0,4.0,Cluster House,Unfurnished,Freehold,Semenyih,landed,False,False,True
3629,1850000.0,4267.0,6.0,6.0,Semi-Detached House,Partially Furnished,Freehold,Cheras,landed,False,False,True
3630,385000.0,1100.0,4.0,2.0,Terraced House,Unfurnished,Freehold,Kuala Langat,landed,False,False,False
3631,385000.0,1100.0,4.0,2.0,Terraced House,Unfurnished,Freehold,Kuala Langat,landed,False,False,False
3632,790800.0,1400.0,4.0,3.0,Condominium,Partially Furnished,Freehold,Petaling Jaya,high-rise,True,True,False
3633,1050000.0,2386.0,6.0,3.0,Terraced House,Unfurnished,Freehold,Sepang,landed,True,False,False
3634,850000.0,1305.0,4.0,3.0,Service Residence,Partially Furnished,99-year Leasehold,Petaling Jaya,high-rise,False,False,False
3635,349000.0,794.0,3.0,2.0,Townhouse,Fully Furnished,Leasehold,Puchong,high-rise,False,False,False
3636,600000.0,1398.0,4.0,3.0,2-storey Terraced House,Unfurnished,Freehold,Kajang,landed,False,False,False
3637,439000.0,3028.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Cyberjaya,landed,False,False,False
3638,880000.0,1084.0,3.0,2.0,Service Residence,Partially Furnished,Leasehold,Damansara,high-rise,True,True,True
3639,650000.0,1600.0,4.0,3.0,2-storey Terraced House,Partially Furnished,Freehold,Kajang,landed,False,False,False
3640,5480000.0,10300.0,7.0,8.0,Bungalow House,Unfurnished,Freehold,Shah Alam,landed,False,False,False
3641,650000.0,1600.0,4.0,3.0,2-storey Terraced House,Partially Furnished,Freehold,Kajang,landed,False,False,False
3642,199000.0,478.0,2.0,1.0,Condominium,Fully Furnished,Freehold,Sepang,high-rise,True,True,True
3643,435999.0,3028.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Puchong,landed,False,False,False
3644,441000.0,3600.0,5.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Petaling Jaya,landed,False,False,False
3645,212000.0,500.0,2.0,1.0,Condominium,Fully Furnished,Freehold,Sepang,high-rise,True,True,True
3646,750000.0,1729.0,4.0,3.0,2-storey Terraced House,Unfurnished,Freehold,Klang,landed,False,True,False
3647,450000.0,1300.0,3.0,2.0,1-storey Terraced House,Unfurnished,Freehold,Puchong,landed,False,False,False
3648,600000.0,2193.0,4.0,3.0,Cluster House,Unfurnished,Leasehold,Rawang,landed,True,True,False
3649,1250000.0,4660.0,4.0,4.0,3-storey Terraced House,Unfurnished,Leasehold,Puchong,landed,True,False,True
3650,300000.0,1185.0,3.0,2.0,Townhouse,Fully Furnished,Freehold,Kajang,high-rise,False,False,False
3651,412533.0,3157.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Shah Alam,landed,False,False,False
3652,320000.0,927.0,4.0,2.0,Townhouse,Partially Furnished,Leasehold,Puchong,high-rise,True,True,True
3653,708000.0,976.0,2.0,2.0,Service Residence,Unfurnished,Freehold,Subang Jaya,high-rise,True,True,True
3654,850000.0,2396.0,5.0,5.0,Cluster House,Unfurnished,Freehold,Semenyih,landed,False,False,False
3655,718000.0,1500.0,5.0,3.0,2-storey Terraced House,Partially Furnished,Freehold,Klang,landed,False,False,False
3656,1270000.0,2400.0,4.0,4.0,Semi-Detached House,Partially Furnished,Freehold,Cyberjaya,landed,False,False,False
3657,680000.0,1800.0,4.0,3.0,2-storey Terraced House,Partially Furnished,Freehold,Kajang,landed,False,False,False
3658,3600000.0,8342.0,10.0,7.0,Bungalow House,Unfurnished,Leasehold,Shah Alam,landed,False,False,False
3659,335000.0,950.0,3.0,2.0,Apartment,Partially Furnished,Freehold,Shah Alam,high-rise,True,True,False
3660,620000.0,2290.0,4.0,2.0,1.5-storey Terraced House,Partially Furnished,Leasehold,Puchong,landed,False,False,False
3661,406000.0,1600.0,3.0,3.0,1.5-storey Terraced House,Unfurnished,Freehold,Sepang,landed,False,False,True
3662,350000.0,850.0,3.0,2.0,Condominium,Partially Furnished,Freehold,Subang Jaya,high-rise,True,True,False
3663,1300000.0,3300.0,5.0,5.0,2.5-storey Terraced House,Unfurnished,Freehold,Kajang,landed,False,False,False
3664,1850000.0,3246.0,6.0,5.0,Semi-Detached House,Fully Furnished,Freehold,Shah Alam,landed,False,False,False
3665,590000.0,1770.0,4.0,3.0,2-storey Terraced House,Unfurnished,Freehold,Rawang,landed,False,False,True
3666,398000.0,3122.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Cyberjaya,landed,False,False,False
3667,681700.0,950.0,3.0,2.0,Service Residence,Unfurnished,Leasehold,Petaling Jaya,high-rise,True,True,True
3668,368888.0,2872.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Shah Alam,landed,False,False,False
3669,368000.0,850.0,2.0,2.0,Duplex,Partially Furnished,Freehold,Cyberjaya,high-rise,True,True,False
3670,1270000.0,2400.0,4.0,4.0,Semi-Detached House,Partially Furnished,Freehold,Cyberjaya,landed,False,False,False
3671,199999.0,450.0,2.0,1.0,Condominium,Unfurnished,Freehold,Cyberjaya,high-rise,True,True,False
3672,320000.0,1300.0,4.0,3.0,Condominium,Fully Furnished,Freehold,Sepang,high-rise,True,True,True
3673,550000.0,2180.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Kajang,landed,False,False,False
3674,745000.0,2433.0,4.0,3.0,2-storey Terraced House,Unfurnished,Freehold,Cyberjaya,landed,True,False,True
3675,750000.0,2153.0,4.0,3.0,2-storey Terraced House,Unfurnished,Freehold,Semenyih,landed,True,True,False
3676,1200000.0,2300.0,4.0,4.0,2-storey Terraced House,Partially Furnished,Freehold,Damansara,landed,False,False,False
3677,441000.0,3600.0,5.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Petaling Jaya,landed,False,False,False
3678,350000.0,850.0,3.0,2.0,Condominium,Partially Furnished,Freehold,Subang Jaya,high-rise,True,True,False
3679,750000.0,2245.0,4.0,4.0,2-storey Terraced House,Partially Furnished,Freehold,Semenyih,landed,False,False,True
