id,price,listing_title,sqft,bedrooms,bathrooms,address,listing_tags,furnishing,tenure,url,state,pool,fitness,balcony,log_price,sqft_boxcox,landed_high_rise,district_enc
2909,360000.0,Free Mot Rm360k @ Cybersouth,1500.0,3.0,2.0,"Cyberjaya, Sepang, Selangor",2-storey Terraced House,Unfurnished,Freehold,https://www.propertyguru.com.my/property-listing/free-mot-rm360k-cybersouth-for-sale-by-samuel-tan-36213945, Selangor,True,True,False,12.793862088206213,5.426917637540885,landed,sepang
2910,2790000.0,PJ Peak New 3 Storey Luxury Semi-D (Open for sale),3899.0,7.0,6.0,"5 mins to The Curve, Bandar Utama, Petaling Jaya, Selangor",Semi-Detached House,Partially Furnished,Freehold,https://www.propertyguru.com.my/property-listing/pj-peak-new-3-storey-luxury-semi-d-open-for-sale-for-sale-by-nick-ch-36177527#contact-agent, Selangor,True,True,True,14.841552512220423,5.915545402610805,landed,petaling
2911,2240000.0,Hijauan Enklaf,4003.0,6.0,6.0,"Jln Setia Perdana U13/26B, Sepang, Selangor",Twin Courtyard Villa,Unfurnished,Freehold,https://www.propertyguru.com.my/property-listing/hijauan-enklaf-for-sale-by-mohd-afifi-34516031, Selangor,False,False,False,14.621986870259695,5.928449855957683,landed,sepang
2912,630000.0,Bandar Mahkota Cheras,1210.0,4.0,3.0,"Jalan Temenggung, Bandar Mahkota Cheras, Cheras, Selangor",2-storey Terraced House,Partially Furnished,Freehold,https://www.propertyguru.com.my/property-listing/bandar-mahkota-cheras-for-sale-by-happy-wong-35843723#contact-agent, Selangor,False,False,False,13.353476685668044,5.311375688537227,landed,hulu langat
2913,308000.0,SAVANNA Executive Suite Southville City,956.0,3.0,2.0,"Southville City Off Lebuhraya Utara Selatan, Bangi, Bangi, Selangor",Service Residence,Partially Furnished,Freehold,https://www.propertyguru.com.my/property-listing/savanna-executive-suite-southville-city-for-sale-by-elynne-lim-29535318#contact-agent, Selangor,True,True,False,12.637858308703688,5.182181044978489,high-rise,hulu langat
2914,658530.0,New 3 Storey Terrace @ Rawang,2854.0,5.0,4.0,"Jalan C1, Kampung Permata, 48050 Rawang, Selangor, Rawang, Selangor",3-storey Terraced House,Partially Furnished,Leasehold,https://www.propertyguru.com.my/property-listing/new-3-storey-terrace-rawang-for-sale-by-jia-jin-35984880, Selangor,False,False,True,13.397766875746846,5.76035031514062,landed,gombak
2915,2239000.0,Lakeview 3 Sty Semi-D (Brand New Last Landed @Subang Heart),4945.0,6.0,7.0,"15 mins to Bandar Sunway, USJ Subang New Project, Bandar Sunway, Subang Jaya, Selangor",Semi-Detached House,Partially Furnished,Freehold,https://www.propertyguru.com.my/property-listing/lakeview-3-sty-semi-d-brand-new-last-landed-subang-heart-for-sale-by-nick-ch-35358071, Selangor,True,True,True,14.621540342208752,6.030995864474105,landed,petaling
2916,510000.0,Taman Puncak Jalil PUJ2,1400.0,4.0,3.0,"Bandar Putra Permai, Seri Kembangan, Selangor",2-storey Terraced House,Unfurnished,Freehold,https://www.propertyguru.com.my/property-listing/taman-puncak-jalil-puj2-for-sale-by-khoo-34101831, Selangor,False,False,False,13.1421679654829,5.390046439037858,landed,petaling
2917,408900.0,SETIA ALAM,2370.0,4.0,4.0,"Setia Alam, Shah Alam, Selangor",2-storey Terraced House,Fully Furnished,Freehold,https://www.propertyguru.com.my/property-listing/setia-alam-for-sale-by-lily-chia-35703428#contact-agent, Selangor,True,True,False,12.921228351935461,5.665913317191442,landed,petaling
2918,220000.0,Flora Damansara,850.0,3.0,2.0,"Jalan PJU 8/9, Damansara Perdana, Damansara Perdana, Damansara, Selangor",Apartment,Partially Furnished,Leasehold,https://www.propertyguru.com.my/property-listing/flora-damansara-for-sale-by-elvis-kok-36381838, Selangor,False,False,True,12.301387370778713,5.116755155691901,high-rise,petaling
