id,price,listing_title,sqft,bedrooms,bathrooms,address,listing_tags,tenure,url,state,pool,fitness,balcony,log_price,sqft_boxcox,landed_high_rise,district_enc
1401,638000.0,Tropicana Gardens,603.0,1.0,1.0,"No 2A Persiaran Surian Tropicana Indah, Tropicana Indah, Petaling Jaya, Selangor",Service Residence,Leasehold,https://www.propertyguru.com.my/property-listing/tropicana-gardens-for-sale-by-vincent-heng-29397654#contact-agent, Selangor,True,True,False,13.366095129723817,5.4063897026991885,high-rise,petaling
1402,2300000.0,Isle of Botanica,3140.0,5.0,5.0,"Cyberjaya, Selangor",Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/isle-of-botanica-for-sale-by-zhen-hao-36020607#contact-agent, Selangor,False,False,True,14.648420115681892,6.520619805757663,landed,sepang
1403,1150000.0,"SS22, Jalan SS22, SS 22, Damansara Jaya, PJ",2200.0,4.0,3.0,"Damansara Jaya, Damansara, Selangor",2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/ss22-jalan-ss22-ss-22-damansara-jaya-pj-for-sale-by-michael-lam-33473854#contact-agent, Selangor,False,False,True,13.955273369904273,6.288764623116444,landed,petaling
1404,5500000.0,Beverly Heights,5800.0,6.0,7.0,"1 Jalan Beverly Heights, Ampang Jaya, Ampang, Selangor",Bungalow House,Leasehold,https://www.propertyguru.com.my/property-listing/beverly-heights-for-sale-by-hanif-zaiki-35807441#contact-agent, Selangor,True,True,False,15.520258832020865,6.910140026145484,landed,gombak
1405,730000.0,Taman Damai Impian 2,1920.0,4.0,3.0,"Jalan Damai Impian 2/9, Pandan Perdana, Cheras, Selangor",2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/taman-damai-impian-2-for-sale-by-anthony-goh-36022769#contact-agent, Selangor,False,False,False,13.500801182986649,6.198852893903467,landed,hulu langat
1406,2100000.0,Beverly Heights,3620.0,6.0,5.0,"1 Jalan Beverly Heights, Ampang Jaya, Ampang, Selangor",Semi-Detached House,Leasehold,https://www.propertyguru.com.my/property-listing/beverly-heights-for-sale-by-jarvis-wong-36063425, Selangor,True,True,False,14.557448378884015,6.612078043242818,landed,gombak
1407,1850000.0,Taman SEA,2000.0,4.0,4.0,"Lorong SS 23/6d, Taman Sea, Petaling Jaya, Selangor",2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/taman-sea-for-sale-by-carmen-yong-34976245#contact-agent, Selangor,False,False,False,14.430696737594902,6.225884652710898,landed,petaling
1408,1750000.0,Section 3,5100.0,5.0,4.0,"Petaling Jaya, Selangor",Bungalow House,Leasehold,https://www.propertyguru.com.my/property-listing/section-3-for-sale-by-raveen-34761047#contact-agent, Selangor,False,False,True,14.375126917328105,6.82957006975146,landed,petaling
1409,1200000.0,Sunway Alam Suria,2548.0,5.0,4.0,"Jalan Pulau Angsa U10/42, Shah Alam, Selangor",2.5-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/sunway-alam-suria-for-sale-by-stanley-34954590#contact-agent, Selangor,False,False,False,13.997832948091215,6.385012753526299,landed,petaling
1410,1408000.0,Xania Puchong,3805.0,5.0,6.0,"Cyberjaya, Selangor",Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/xania-puchong-for-sale-by-daniel-yong-35553579#contact-agent, Selangor,False,False,True,14.157681525927146,6.64395617012374,landed,sepang
