id,price,listing_title,sqft,bedrooms,bathrooms,address,price_per_sqft,listing_tags,furnishing,tenure,floor_size_det,url,state,district,pool,fitness,balcony
812,619000.0,Taman Puchong Tekali,2179.0,4.0,3.0,"Taman Puchong Tekali, Puchong, Selangor",284.08,2-storey Terraced House,Partially Furnished,Leasehold,2179.0,https://www.propertyguru.com.my/property-listing/taman-puchong-tekali-for-sale-by-sky-lai-36108474#contact-agent, Selangor,Puchong,False,False,False
813,480000.0,Taman Samudera,1100.0,3.0,2.0,"Taman SamuderaTimur Batu Caves, Batu Caves, Gombak, Selangor",436.36,2-storey Terraced House,Partially Furnished,Leasehold,1100.0,https://www.propertyguru.com.my/property-listing/taman-samudera-for-sale-by-shaziery-iskandar-36144714#contact-agent, Selangor,Gombak,False,False,False
814,1583000.0,Marque @ Jalil,3007.0,5.0,5.0,"Puncak Jalil, Seri Kembangan, Selangor",526.44,3-storey Terraced House,Unfurnished,Leasehold,3007.0,https://www.propertyguru.com.my/property-listing/marque-jalil-for-sale-by-yenni-32486783#contact-agent, Selangor,Seri Kembangan,False,False,False
815,775000.0,Sierra Ukay @ Ukay Perdana,1600.0,4.0,3.0,"Ulu Klang, Selangor",484.38,2-storey Terraced House,Unfurnished,Leasehold,1600.0,https://www.propertyguru.com.my/property-listing/sierra-ukay-ukay-perdana-for-sale-by-azli-ibrahim-35981181, Selangor,Ulu Klang,False,False,False
816,770000.0,Bandar Bukit Raja,2024.0,4.0,3.0,"Jalan Sungai Keramat 25, Bandar Bukit Raja, Klang, Selangor",380.43,2-storey Terraced House,Unfurnished,Freehold,2024.0,https://www.propertyguru.com.my/property-listing/bandar-bukit-raja-for-sale-by-oscar-tee-36316705#contact-agent, Selangor,Klang,False,False,False
817,357000.0,SAVANNA Executive Suite Southville City Bangi Kajang,960.0,3.0,2.0,"Kajang, Bangi Savanna Condo for Sale, Kajang, Selangor",371.88,Condominium,Partially Furnished,Freehold,960.0,https://www.propertyguru.com.my/property-listing/savanna-executive-suite-southville-city-bangi-kajang-for-sale-by-christopher-yam-36366758, Selangor,Kajang,True,True,False
818,1900000.0,Citrina @ Alam Impian,3674.0,6.0,5.0,"Jalan Panglima Awang, Alam Impian, Shah Alam, Selangor",517.15,Semi-Detached House,Partially Furnished,Freehold,3674.0,https://www.propertyguru.com.my/property-listing/citrina-alam-impian-for-sale-by-ezra-ezzry-35236127, Selangor,Shah Alam,False,False,False
819,465000.0,Taman Pinggiran Batu Caves,1300.0,3.0,2.0,"Batu Caves, Gombak, Selangor",357.69,1-storey Terraced House,Partially Furnished,Leasehold,1300.0,https://www.propertyguru.com.my/property-listing/taman-pinggiran-batu-caves-for-sale-by-shaziery-iskandar-36268406, Selangor,Gombak,False,False,False
820,2200000.0,Lambaian Residence,5525.0,8.0,9.0,"Jalan Lambaian, Kajang, Selangor",398.19,Bungalow House,Unfurnished,Freehold,4763.0,https://www.propertyguru.com.my/property-listing/lambaian-residence-for-sale-by-herwan-shafie-35747921#contact-agent, Selangor,Kajang,False,False,False
821,1600000.0,Cassia @ Garden Residence,3076.0,5.0,5.0,"Cyberjaya, Sepang, Selangor",520.16,Semi-Detached House,Partially Furnished,Freehold,3076.0,https://www.propertyguru.com.my/property-listing/cassia-garden-residence-for-sale-by-mahafiz-36275835#contact-agent, Selangor,Sepang,False,False,False
